data,hora,natureza,bairro,endereco,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,sinalizacao,condicao_via,conservacao_via,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1
2020-01-13 00:00:00,11:46:00,SEM VÍTIMA,BAIRRO DO RECIFE,RUA DR ASCANIO PEIXOTO,,CIDADE,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VITIMAS,1,,,,,,1,,,0,Longo da via,Bom,Perfeito estado,Seca,,Não há placas,,Dupla,Canteiro central
2020-01-13 00:00:00,11:48:00,SEM VÍTIMA,ALTO JOSÉ DO PINHO,RUA CORREGO JOSE GRANDE,,CIDADE,ABALROAMENTO LONGITUDINAL,SEM VITIMAS,1,1,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Dupla,Não existe
2020-01-13 00:00:00,11:52:00,SEM VÍTIMA,SAN MARTIN,RUA COMENDADOR FRANCO FERREIRA,,SUBURBIO,ABALROAMENTO LONGITUDINAL,COLISAO S/ VITIMA. ENTRE DOIS VEICULOS,2,,,,,,,,,0,Cruzamento,Bom,Incompleta,Seca,Perfeito estado,Placas Pare,30 km/h,Dupla,Não existe
2020-01-13 00:00:00,12:33:00,SEM VÍTIMA,SANTO ANTÔNIO,AV MARTINS DE BARROS,,SUBURBIO,COLISÃO TRASEIRA,COLISAO ENTRE DOIS AUTOS S/V,2,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Dupla,Canteiro central
2020-01-13 00:00:00,12:57:00,COM VÍTIMA,CASA FORTE,AV DEZESSETE DE AGOSTO,,,COLISÃO,COLISÃO COM VITIMA,1,1,,,,,,,,1,,,,,,,,,
2020-01-13 00:00:00,13:53:00,SEM VÍTIMA,VÁRZEA,RUA MARIO CAMPELO,,,ABALROAMENTO LONGITUDINAL,COLISÃO SEM VITIMA,1,1,,,,,,,,0,Cruzamento,Bom,Não existente,Seca,Perfeito estado,Não há placas,,Dupla,Não existe
2020-01-13 00:00:00,14:28:00,SEM VÍTIMA,BOA VIAGEM,RUA BARAO DE SOUZA LEAO,,,CHOQUE,CAMINHÃO QUEBRADO NA VIA APÓS CHOQUE COM VIADUTO,,,,,,,1,,,0,,,,,,,,,
2020-01-13 00:00:00,14:42:00,SEM VÍTIMA,MADALENA,RUA JOAQUIM NABUCO,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO SEM VÍTIMA / LUIZ BARBOSA DE PO NO LOCAL-TELEFONE 999116655,1,,,,,,1,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Não há placas,,Dupla,Faixa contínua
2020-01-13 00:00:00,15:04:00,SEM VÍTIMA,AFOGADOS,RUA NICOLAU PEREIRA,73,SUBURBIO,ABALROAMENTO TRANSVERSAL,COLISÃO S/VITIMAS ENTRE UMA AMBULÂNCIA E UMA AUTO,1,,,,,,,,1,0,Cruzamento,Bom,Perfeito estado,Seca,Perfeito estado,Outras,40 km/h,Única,Faixa seccionada
2020-01-13 00:00:00,15:32:00,SEM VÍTIMA,ILHA DO RETIRO,RUA BENFICA,,SUBURBIO,COLISÃO TRASEIRA,COLISÃO S/VITIMAS ENTRE TRES AUTOS,3,,,,,,,,,0,Longo da via,Bom,Perfeito estado,Seca,Perfeito estado,Outras,,Única,Não existe
